variant,run,miss_dist,result,ins_seed
NDI,0,0.7938,"CPA PASSED  t=5.190s  min_dist=0.79m  pos=(4963, 1500, 10000m)",1826701615
NDI,1,0.6296,"CPA PASSED  t=5.187s  min_dist=0.63m  pos=(4962, 1500, 10000m)",1367864807
NDI,2,0.7919,"CPA PASSED  t=5.189s  min_dist=0.79m  pos=(4963, 1500, 10000m)",1097657232
NDI,3,0.3860,"CPA PASSED  t=5.187s  min_dist=0.39m  pos=(4962, 1500, 10000m)",579362556
NDI,4,0.2344,"CPA PASSED  t=5.189s  min_dist=0.23m  pos=(4962, 1500, 10000m)",661058652
NDI,5,0.8367,"CPA PASSED  t=5.188s  min_dist=0.84m  pos=(4963, 1499, 10000m)",87989972
NDI,6,1.4862,"CPA PASSED  t=5.188s  min_dist=1.49m  pos=(4962, 1501, 10000m)",161576974
NDI,7,0.7875,"CPA PASSED  t=5.190s  min_dist=0.79m  pos=(4963, 1500, 9999m)",35492827
NDI,8,0.7570,"CPA PASSED  t=5.188s  min_dist=0.76m  pos=(4962, 1499, 10000m)",376383645
NDI,9,0.4843,"CPA PASSED  t=5.188s  min_dist=0.48m  pos=(4962, 1500, 10000m)",1746484540
NDI,10,0.6781,"CPA PASSED  t=5.192s  min_dist=0.68m  pos=(4962, 1500, 9999m)",1394609703
NDI,11,0.4211,"CPA PASSED  t=5.189s  min_dist=0.42m  pos=(4962, 1500, 10000m)",1960127676
NDI,12,1.1830,"CPA PASSED  t=5.190s  min_dist=1.18m  pos=(4962, 1501, 10000m)",1081530687
NDI,13,0.9755,"CPA PASSED  t=5.191s  min_dist=0.98m  pos=(4961, 1499, 9999m)",1302740408
NDI,14,1.1009,"CPA PASSED  t=5.187s  min_dist=1.10m  pos=(4962, 1499, 9999m)",2084654370
NDI,15,0.3945,"CPA PASSED  t=5.190s  min_dist=0.39m  pos=(4962, 1500, 10000m)",1566581935
NDI,16,0.6138,"CPA PASSED  t=5.191s  min_dist=0.61m  pos=(4961, 1500, 10000m)",1357791199
NDI,17,0.7708,"CPA PASSED  t=5.191s  min_dist=0.77m  pos=(4962, 1500, 10001m)",1167425779
NDI,18,0.8944,"CPA PASSED  t=5.189s  min_dist=0.89m  pos=(4963, 1500, 10001m)",1202413558
NDI,19,0.6500,"CPA PASSED  t=5.188s  min_dist=0.65m  pos=(4963, 1501, 10000m)",2008052739
NDI,20,0.8096,"CPA PASSED  t=5.189s  min_dist=0.81m  pos=(4963, 1501, 10000m)",595598246
